total_mem_mb,shared_buffers_mb,work_mem_mb,workload,query,run,elapsed_ms,blks_hit,blks_read,miss_rate_pct,source
768,192,24,tpch,Q1_AGG,3,58322.477,490,1124478,99.9564,results_large_20260504_095821
768,192,24,tpch,Q4_EXISTS,1,79949.62,660,1385374,99.9524,results_large_20260504_095821
768,192,24,tpch,Q4_EXISTS,2,79453.204,666,1385291,99.9519,results_large_20260504_095821
768,192,24,tpch,Q4_EXISTS,3,79442.455,730,1385227,99.9473,results_large_20260504_095821
768,192,24,tpch,Q6_SCAN,1,57839.845,729,1124352,99.9352,results_large_20260504_095821
768,192,24,tpch,Q6_SCAN,2,58326.328,764,1124317,99.9321,results_large_20260504_095821
768,192,24,tpch,Q6_SCAN,3,58306.106,796,1124285,99.9292,results_large_20260504_095821
1024,256,32,tpcc,TPCC_CUST_FULLSORT,1,13360.813,456,233863,99.8054,results_large_20260504_095821
1024,256,32,tpcc,TPCC_CUST_FULLSORT,2,13512.968,423,233819,99.8194,results_large_20260504_095821
1024,256,32,tpcc,TPCC_CUST_FULLSORT,3,13506.072,455,233787,99.8058,results_large_20260504_095821
1024,256,32,tpcc,TPCC_OL_SORT,1,21903.99,696,418805,99.8341,results_large_20260504_095821
1024,256,32,tpcc,TPCC_OL_SORT,2,21715.696,656,418768,99.8436,results_large_20260504_095821
1024,256,32,tpcc,TPCC_OL_SORT,3,21716.37,688,418736,99.836,results_large_20260504_095821
1024,256,32,tpcc,TPCC_STOCK_SCAN,1,22240.609,225,440598,99.949,results_large_20260504_095821
1024,256,32,tpcc,TPCC_STOCK_SCAN,2,22850.992,412,440488,99.9066,results_large_20260504_095821
1024,256,32,tpcc,TPCC_STOCK_SCAN,3,22853.193,367,440456,99.9167,results_large_20260504_095821
1024,256,32,tpcc,TPCC_WH_SUMMARY,1,21720.134,370,418907,99.9118,results_large_20260504_095821
1024,256,32,tpcc,TPCC_WH_SUMMARY,2,21760.879,336,418864,99.9198,results_large_20260504_095821
1024,256,32,tpcc,TPCC_WH_SUMMARY,3,21740.418,368,418832,99.9122,results_large_20260504_095821
1024,256,32,tpch,Q12_JOIN,1,74084.941,24119,1426169,98.337,results_large_20260504_095821
1024,256,32,tpch,Q12_JOIN,2,73947.311,23833,1426532,98.3568,results_large_20260504_095821
1024,256,32,tpch,Q12_JOIN,3,73922.852,23774,1426514,98.3607,results_large_20260504_095821
1024,256,32,tpch,Q13_HASHJOIN,1,18963.932,28703,268528,90.3432,results_large_20260504_095821
1024,256,32,tpch,Q13_HASHJOIN,2,18718.577,28818,268413,90.3045,results_large_20260504_095821
1024,256,32,tpch,Q13_HASHJOIN,3,18663.007,28953,268355,90.2616,results_large_20260504_095821
1024,256,32,tpch,Q18_LARGE_VOL,1,89711.518,29417,2517358,98.8449,results_large_20260504_095821
1024,256,32,tpch,Q18_LARGE_VOL,2,89605.572,29712,2517140,98.8334,results_large_20260504_095821
1024,256,32,tpch,Q18_LARGE_VOL,3,89524.476,29827,2516948,98.8288,results_large_20260504_095821
1024,256,32,tpch,Q1_AGG,1,57917.827,340,1124628,99.9698,results_large_20260504_095821
1024,256,32,tpch,Q1_AGG,2,58299.436,458,1124510,99.9593,results_large_20260504_095821
1024,256,32,tpch,Q1_AGG,3,58319.104,490,1124478,99.9564,results_large_20260504_095821
1024,256,32,tpch,Q4_EXISTS,1,75241.279,666,1385374,99.9519,results_large_20260504_095821
1024,256,32,tpch,Q4_EXISTS,2,74849.166,672,1385291,99.9515,results_large_20260504_095821
1024,256,32,tpch,Q4_EXISTS,3,74782.254,736,1385227,99.9469,results_large_20260504_095821
1024,256,32,tpch,Q6_SCAN,1,57832.717,729,1124352,99.9352,results_large_20260504_095821
1024,256,32,tpch,Q6_SCAN,2,58301.349,764,1124317,99.9321,results_large_20260504_095821
1024,256,32,tpch,Q6_SCAN,3,58309.932,796,1124285,99.9292,results_large_20260504_095821
1536,384,48,tpcc,TPCC_CUST_FULLSORT,1,13358.689,379,233863,99.8382,results_large_20260504_095821
1536,384,48,tpcc,TPCC_CUST_FULLSORT,2,13507.489,500,233819,99.7866,results_large_20260504_095821
1536,384,48,tpcc,TPCC_CUST_FULLSORT,3,13507.305,455,233787,99.8058,results_large_20260504_095821
1536,384,48,tpcc,TPCC_OL_SORT,1,21886.656,619,418805,99.8524,results_large_20260504_095821
1536,384,48,tpcc,TPCC_OL_SORT,2,21740.338,656,418768,99.8436,results_large_20260504_095821
1536,384,48,tpcc,TPCC_OL_SORT,3,21715.646,688,418736,99.836,results_large_20260504_095821
1536,384,48,tpcc,TPCC_STOCK_SCAN,1,22226.441,225,440598,99.949,results_large_20260504_095821
1536,384,48,tpcc,TPCC_STOCK_SCAN,2,22833.444,412,440488,99.9066,results_large_20260504_095821
1536,384,48,tpcc,TPCC_STOCK_SCAN,3,22850.157,367,440456,99.9167,results_large_20260504_095821
1536,384,48,tpcc,TPCC_WH_SUMMARY,1,21728.107,293,418907,99.9301,results_large_20260504_095821
1536,384,48,tpcc,TPCC_WH_SUMMARY,2,21743.565,413,418864,99.9015,results_large_20260504_095821
1536,384,48,tpcc,TPCC_WH_SUMMARY,3,21729.104,368,418832,99.9122,results_large_20260504_095821
1536,384,48,tpch,Q12_JOIN,1,74080.182,24119,1426169,98.337,results_large_20260504_095821
1536,384,48,tpch,Q12_JOIN,2,73930.108,110,8,6.7797,results_large_20260504_095821
1536,384,48,tpch,Q12_JOIN,3,73952.534,23774,1426514,98.3607,results_large_20260504_095821
1536,384,48,tpch,Q13_HASHJOIN,1,17878.801,42929,254302,85.557,results_large_20260504_095821
1536,384,48,tpch,Q13_HASHJOIN,2,17436.616,43044,254187,85.5183,results_large_20260504_095821
1536,384,48,tpch,Q13_HASHJOIN,3,17491.061,43179,254129,85.4767,results_large_20260504_095821
1536,384,48,tpch,Q18_LARGE_VOL,1,88526.993,43643,2503132,98.2863,results_large_20260504_095821
1536,384,48,tpch,Q18_LARGE_VOL,2,88301.098,43938,2502914,98.2748,results_large_20260504_095821
1536,384,48,tpch,Q18_LARGE_VOL,3,88317.853,44053,2502722,98.2702,results_large_20260504_095821
